name,id,tier,type,description,is_magic,bought,zh,learned_by,monsters_use,buffed_by,mana_cost,gives,pets_use,causes,m1,M2.max,M2.min,turns,ward,hp,strikes,crit,element,cures,cost
HP Regen,1,2,Passive,Your wounds heal more quickly.,1,,生命值回復,,,,,,,,,,,,,,,,,,
Critical Hits,3,2,Passive,You have a way of landing that perfect strike.,1,,爆擊,"[{""id"":5,""name"":""Paladin"",""level"":0,""specialization"":false},{""id"":7,""name"":""Rogue"",""level"":1,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":0,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":0,""specialization"":false},{""id"":21,""name"":""Battle Master"",""level"":0,""specialization"":false},{""id"":10,""name"":""Adept"",""level"":1,""specialization"":false},{""id"":62,""name"":""Augur"",""level"":1,""specialization"":false},{""id"":63,""name"":""Gladiator"",""level"":1,""specialization"":false},{""id"":30,""name"":""Majestic"",""level"":0,""specialization"":false},{""id"":40,""name"":""Majistrate"",""level"":0,""specialization"":false},{""id"":46,""name"":""Arcanic"",""level"":1,""specialization"":false},{""id"":80,""name"":""Beowulf"",""level"":225,""specialization"":false}]","[325,437]",,,,,,,,,,,,,,,,
Mana Regen,4,2,Passive,Your mana recovers more quickly.,1,,魔力回復,"[{""id"":6,""name"":""Archmage"",""level"":0,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Gold Bonus,5,2,Passive,You have a way of finding that extra coin.,1,,金幣加成,"[{""id"":19,""name"":""Scorcher"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
EXP Step,6,2,Passive,Gain EXP while walking.,1,,"經驗同""步""","[{""id"":20,""name"":""Frost Mage"",""level"":0,""specialization"":false},{""id"":17,""name"":""Legionnaire"",""level"":0,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":0,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":0,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":0,""specialization"":false},{""id"":21,""name"":""Battle Master"",""level"":0,""specialization"":false},{""id"":10,""name"":""Adept"",""level"":0,""specialization"":false},{""id"":62,""name"":""Augur"",""level"":1,""specialization"":false},{""id"":63,""name"":""Gladiator"",""level"":1,""specialization"":false},{""id"":9,""name"":""Mystic"",""level"":0,""specialization"":false},{""id"":61,""name"":""Runeblade"",""level"":1,""specialization"":false},{""id"":8,""name"":""Spellsword"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Mana Step,16,2,Passive,You recover by moving. Your player will recover mana while walking.,1,,"魔力同""步""","[{""id"":6,""name"":""Archmage"",""level"":0,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":0,""specialization"":false},{""id"":16,""name"":""Royal Guard"",""level"":0,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":0,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":0,""specialization"":false},{""id"":23,""name"":""Sorcerer"",""level"":0,""specialization"":false},{""id"":61,""name"":""Runeblade"",""level"":1,""specialization"":false},{""id"":8,""name"":""Spellsword"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
HP Step,18,2,Passive,Regain HP while walking,1,,"生命同""步""","[{""id"":17,""name"":""Legionnaire"",""level"":0,""specialization"":false},{""id"":16,""name"":""Royal Guard"",""level"":0,""specialization"":false},{""id"":22,""name"":""Centurion"",""level"":0,""specialization"":false}]",,,,,,,,,,,,,,,,,
Beast Mode,32,5,Passive,Your stats increase as you defeat animals of the wild. (Increases by 10% per animal defeated resulting in a 20% buff to stats when active),1,,野獸模式,"[{""id"":12,""name"":""Druid"",""level"":0,""specialization"":false},{""id"":31,""name"":""Battlemage"",""level"":0,""specialization"":false},{""id"":38,""name"":""Archdruid"",""level"":0,""specialization"":false}]",,"[10,2,17,16,189,23,154,122,24,34,38,137,156,227,126,50,267,76,95,162,190,235,268,105,114,117,113,243,155,132,244,228,239,237,194,307,317,330]",,,,,,,,,,,,,,,
Dragon Slayer,33,5,Passive,Your stats increase as you defeat dragons. (Increases by 10% per dragon defeated resulting in a 20% buff to stats when active),1,,屠龍者,"[{""id"":11,""name"":""Dragoon"",""level"":0,""specialization"":false},{""id"":39,""name"":""Dragon Knight"",""level"":0,""specialization"":false},{""id"":49,""name"":""Freyr"",""level"":0,""specialization"":false},{""id"":67,""name"":""Bahamut"",""level"":1,""specialization"":false}]",,"[258,65,128,112,164,274,115,224,251,120,252,262,144,263,143,149,296,295,271,322]",,,,,,,,,,,,,,,
Battle Dance,34,4,Buff,25% chance per stat to boost a stat.,1,,戰鬥之舞,"[{""id"":21,""name"":""Battle Master"",""level"":50,""specialization"":false}]","[12,266,33,113,134,212,182,458]",,50,"[""Att ↑"",""Def ↑"",""Res ↑"",""Mag ↑"",""Dex ↑""]",[67],,,,,,,,,,,,
Bleed,35,1,Attack,Attack with a good chance of a critical hit. May cause bleeding.,,,放血,"[{""id"":3,""name"":""Thief"",""level"":15,""specialization"":false}]","[43,365,156,190,207,67,69,383,111,340,198,213,168,147,144,295,482]",,15,,"[87,89,90]","[""Bleeding""]",1,1,1,1,,,1,0.25,,,
Bolt,36,1,Magic,Deals light magic damage.,1,,魔法箭,"[{""id"":2,""name"":""Mage"",""level"":1,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":1,""specialization"":false}]",[20],,5,,[77],,1,1,1,1,,,1,0,,,
Charge,37,1,Attack,"Hurl your body into the enemy, causing extra damage.",,,衝鋒,"[{""id"":1,""name"":""Warrior"",""level"":5,""specialization"":false}]","[229,1,21,39,391,240,35,382,77,365,55,72,73,78,57,195,188,60,363,86,208,488,96,197,340,202,204,221,265,350]",,20,,"[3,41,43]",,1.2,1,1,1,,,1,0.05,Physical,,
First Aid,38,1,Healing,Recover 100 health points.,1,,急救,"[{""id"":3,""name"":""Thief"",""level"":20,""specialization"":false}]",,,25,,,,,,,,,,,,,,
Flame,39,1,Magic,Deals light fire damage.,1,,火焰,"[{""id"":2,""name"":""Mage"",""level"":3,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":3,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":5,""specialization"":false}]","[3,20,8,366,13,26,27,31,48]",,5,,"[4,24,17]",,1,1,1,1,,,1,0,Fire,,
Frost,40,1,Magic,Deals light ice damage.,1,,冰凍術,"[{""id"":2,""name"":""Mage"",""level"":3,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":5,""specialization"":false}]","[3,20,8,11,26,27,48,256]",,10,,"[24,17,12]",,1.05,1,1,1,,,1,0,Water,,
Heal,41,1,Healing,Recovers 100 HP,1,,治療術,"[{""id"":17,""name"":""Legionnaire"",""level"":20,""specialization"":false}]","[366,39,286,64,126,53,72,49,86,96,297,101,112]",,25,,"[19,87,16,53]",,,,,,,,,,,,
Lunge,42,1,Attack,Run at your enemy with your weapon extended for a 50% critical chance.,,,突刺,"[{""id"":1,""name"":""Warrior"",""level"":15,""specialization"":false}]","[230,229,5,21,240,35,36,46,126,55,72,73,78,188,267,363,86,76,157,459,96,243,471,474,475,476]",,25,,[41],,1,1,1,1,,,1,0.5,Physical,,
Poisonstrike,43,1,Attack,Attack with a chance of causing poison.,,,毒藥之擊,"[{""id"":7,""name"":""Rogue"",""level"":25,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":25,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":25,""specialization"":false}]","[154,190,81,235,267,207,383,158,444,268,224,274,216,252,273,262,193,211,168,147,144,228,183,456,295,194,443,482]",,30,,"[41,98,121,36]","[""Poisoned""]",1.1,1,1,1,,,1,0,,,
Slash,44,1,Attack,Deals extra damage and may cause bleeding.,,,斬擊,"[{""id"":3,""name"":""Thief"",""level"":5,""specialization"":false}]","[7,35,365,58,101,340]",,10,,,"[""Bleeding""]",1.2,1,1,1,,,1,0.05,Physical,,
Spark,45,1,Magic,Deals light lightning damage.,1,,星火術,"[{""id"":2,""name"":""Mage"",""level"":3,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":10,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":5,""specialization"":false}]","[3,20,8,366,26,27,381,48]",,10,,"[24,17]",,1.05,1,1,1,,,1,0,Lightning,,
Tremor,46,1,Magic,Deals light earthen damage.,1,,地顫術,"[{""id"":2,""name"":""Mage"",""level"":3,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":10,""specialization"":false}]","[20,388,195,256,197]",,10,,,,1.05,1,1,1,,,1,0,Earthen,,
Burn,47,2,Debuff,Sets an opponent ablaze.,1,,焚燒,"[{""id"":19,""name"":""Scorcher"",""level"":20,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":175,""specialization"":false}]","[20,31,48,65,116,219,248]",,20,,"[94,127,50,119,95,65]","[""Burning""]",,,,,,,,,Fire,,
Drain,48,2,Magic,Drains a moderate amount of health.,1,,生命吸取,"[{""id"":6,""name"":""Archmage"",""level"":40,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":40,""specialization"":false}]","[26,154,64,389,45,59,410,162,49,69,108,101,111,290,119,269,228,315]",,50,,"[10,35]",,1.1,1,1,1,,25,1,0,,,
Earthstrike,49,2,Attack,Attack the enemy with earthen power.,,,大地之擊,"[{""id"":5,""name"":""Paladin"",""level"":25,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":25,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":175,""specialization"":false}]","[270,266,188,281,400]",,25,,,"[""Rot""]",1.1,1,1,1,,,1,0.05,Earthen,,
Fire Arrow,50,2,Attack,Light an arrow aflame and attack the enemy. 25 percent chance to cause an opponent to burn.,,,火之箭,"[{""id"":7,""name"":""Rogue"",""level"":30,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":30,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":30,""specialization"":false}]","[47,67]",,25,,,,,,,,,,,,Fire,,
Firestrike,51,2,Attack,Light your weapon aflame and attack the enemy.,,,火焰之擊,"[{""id"":5,""name"":""Paladin"",""level"":25,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":25,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":25,""specialization"":false},{""id"":34,""name"":""Ifrit"",""level"":175,""specialization"":false}]","[230,39,31,41,266,46,51,188,65,242,102,248,119,237]",,25,,,"[""Burning""]",1.1,1,1,1,,,1,0.05,Fire,,
Flame II,52,2,Magic,Deals moderate fire damage.,1,,火焰術 II,"[{""id"":2,""name"":""Mage"",""level"":25,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":25,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":30,""specialization"":false}]","[25,40,31,41,42,389,45,50,52,127,162,339,66,49,123,353,351]",,40,,"[80,17,18]",,1.3,1,1,1,,,1,0,Fire,,
Freeze,53,2,Debuff,Freezes an opponent.,1,,冰凍術,"[{""id"":20,""name"":""Frost Mage"",""level"":20,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":175,""specialization"":false}]","[20,11,48,283,116,219,285]",,40,,"[50,119,95,93]","[""Frozen""]",,,,,,,,,Water,,
Frost II,54,2,Magic,Deals moderate ice damage.,1,,冰凍術 II,"[{""id"":2,""name"":""Mage"",""level"":25,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":25,""specialization"":false}]","[41,42,389,45,52,127,299,49,123,283,349]",,40,,"[80,17]",,1.3,1,1,1,,,1,0,Water,,
Great Heal,55,2,Healing,Recover 250 health points.,1,,強效治療術,"[{""id"":17,""name"":""Legionnaire"",""level"":50,""specialization"":false},{""id"":37,""name"":""Gaia"",""level"":175,""specialization"":false}]","[77,33,78,90,99,128,111]",,40,,,,,,,,,,,,,,
