name,id,description,type,tier,boss,arena,image,equipped_by,name_zh,stats.attack.base,materials,dropped_by,cures,quests,gives,stats.magic.base,causes,stats.defense.base,stats.ward.base,element,view_distance,stats.dexterity.base,stats.mana.base,stats.crit.base,stats.resistance.base,stats.hp.base,prevents
Small Health Potion,1,Recovers 100 health points.,Curative,1,false,false,useables/small_health_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",小生命藥水,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bow,2,A hunter's bow.,Weapon,1,false,true,weapons/bow.png,"[{""id"":3,""name"":""Thief""}]",弓,15,"[{""id"":283,""name"":""Wood""}]","[{""id"":7,""name"":""Goblin""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Small Mana Potion,3,Recovers 100 mana.,Curative,1,false,false,useables/small_mana_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",小魔力藥水,---,---,"[{""id"":143,""name"":""Naga Mage""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Antidote,4,Cures poison.,Other,1,false,false,useables/antidote.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",解毒劑,---,---,"[{""id"":9,""name"":""Green Slime""}]","[""Poisoned""]",---,---,---,---,---,---,---,---,---,---,---,---,---,---
Elixir,5,Recovers 100 health points and 100 mana.,Curative,2,false,false,useables/small_elixir.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",秘藥,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Large Health Potion,6,Recovers 250 health points.,Curative,2,false,false,useables/large_health_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",大生命藥水,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Large Mana Potion,7,Recovers 250 mana.,Curative,2,false,false,useables/large_mana_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",大魔力藥水,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Large Elixir,8,Recovers 250 health points and 250 mana.,Curative,3,false,false,useables/large_elixir.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",大秘藥,---,---,---,---,"[{""id"":12,""name"":""First Aid""}]",---,---,---,---,---,---,---,---,---,---,---,---,---
Greater Health Potion,9,Recovers 500 health points.,Curative,4,false,false,useables/greater_health_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",上級生命藥水,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Greater Mana Potion,10,Recovers 500 mana.,Curative,4,false,false,useables/greater_mana_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",上級魔力藥水,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Greater Elixir,11,Recovers 500 health points and 500 mana.,Curative,4,false,false,useables/greater_elixir.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",上級秘藥,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Panacea,12,The universal remedy.,Curative,4,false,false,useables/panacea.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",萬靈藥,---,---,"[{""id"":33,""name"":""Great Mimic""},{""id"":176,""name"":""Mimic King""},{""id"":247,""name"":""Ancient Mimic""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":149,""name"":""Fafnir""},{""id"":275,""name"":""Kerberos""},{""id"":421,""name"":""Mimic King of Kings""},{""id"":337,""name"":""Arisen Naggeneen""},{""id"":348,""name"":""Ebon Scruug""},{""id"":404,""name"":""Fey Yeti""},{""id"":304,""name"":""Mighty Mimic""},{""id"":428,""name"":""Arisen Kerberos""}]","[""Burning"",""Bleeding"",""Frozen"",""Paralyzed"",""Poisoned"",""Blight"",""Blind"",""Asleep"",""Stunned"",""Petrified"",""Cursed"",""Toxic"",""Att ↓"",""Mag ↓"",""Def ↓"",""Def ↓↓"",""Res ↓↓"",""Res ↓"",""Att ↓↓"",""Mag ↓↓"",""Rot"",""Dex ↓""]",---,---,---,---,---,---,---,---,---,---,---,---,---,---
