id,name,zh,tier,cost,skills,stats.attack,stats.heal,stats.protect,stats.buff,stats.debuff,stats.spell,image,description
1,Wyvern,飛龍,6,750000,[97],25,,,,,10,monsters/wyvern.png,"A wild wyvern. It can occasionally breathe fire at your opponent, causing blight."
2,Crow,烏鴉,1,15000,[82],20,,,5,,,monsters/crow.png,A tamed crow. It has a small chance of boosting your speed in battle.
3,Dog,狗狗,1,15000,[37],50,,,,,20,monsters/dog.png,A traveler's best friend.
4,Lesser Red Slime,低階紅色史萊姆,1,15000,[39],90,,,,,50,monsters/red_slime.png,"A tamed red slime. It is not very powerful, but may assist you in battle with fire magic."
5,Gargoyle,石像魔,5,375000,[170],10,,,,3,,monsters/gargoyle.png,A living gargoyle. It can assist in battle by rarely petrifying your opponent.
6,Lesser Slime,低階史萊姆,1,10000,,90,,,,,,monsters/slime.png,"A tamed slime. It is not very powerful, but may assist you in battle."
7,Elder Gnome,侏儒長者,5,750000,"[87,88,90]",,,,,,20,monsters/elder_gnome.png,An experienced gnome who brings unstable magic into battle.
8,Wolf,狼,2,25000,,50,,,,,,monsters/wolf.png,A tamed wolf. It will often attack your enemies in battle.
9,Snake,蛇,2,37500,[61],90,,,,25,,monsters/snake.png,"A tamed snake. Occasionally, it can poison your opponents in battle."
10,Bat,蝙蝠,2,37500,[48],100,,,,,10,monsters/bat.png,A tamed bat. It can drain HP from your enemies in battle.
11,Lesser Golem,低階魔像,2,37500,[62],10,,3,25,,,monsters/golem.png,A tamed golem. It will cast protection on you in battle.
12,Yeti,雪怪,4,300000,"[40,57,60,62]",5,,3,30,,5,monsters/yeti.png,The storied yeti. Can boost your defenses in battle while assisting you with ice magic.
13,Bear,熊,2,25000,,40,,3,,,,monsters/bear.png,A wild bear. It will frequently attack your enemies.
14,Drake,龍獸,4,150000,[75],10,,,,,5,monsters/drake.png,A tamed Drake. It will occasionally summon meteor against your enemies.
15,Ghost,鬼,3,75000,[169],5,,,,20,,monsters/ghost.png,A spooky ghost. It may put your opponent to sleep.
16,Mimic,寶箱怪,3,250000,"[185,41,59,60,61,62,82,67]",5,5,,5,5,5,monsters/mimic.png,A mimic. What it is capable of is unknown.
17,Gnome,侏儒,3,200000,"[39,52,40,54,45,66]",,,,,,20,monsters/gnome.png,A gnome. It can assist you in battle with its spells.
18,Hellhound,地獄犬,3,75000,[52],25,,,,,10,monsters/hellhound.png,A tamed hellhound. Can assist in battle with attacks and fire magic.
19,Fairy,仙女,3,75000,[41],5,25,,,,,monsters/fairy.png,A magic fairy. It will heal you in battle.
20,Lizarr,蜥蜴人,3,75000,[71],25,,,,,,monsters/lizard_warrior.png,"A tamed, yet aggressive lizarr warrior. It will attack your enemies in battle."
21,Imp,小惡魔,3,75000,[67],10,,,25,,,monsters/imp.png,A tamed imp. Will occasionally boost your attack.
22,Dark Slime,暗黑史萊姆,5,500000,"[92,65]",,,,,5,5,monsters/dark_slime.png,A slime of the darkest variable. It can blind your opponent and use dark magic.
23,Banshee,報喪女妖,5,375000,[180],5,,,,5,5,monsters/banshee.png,The reason one would want a banshee with them is still quite unknown.
24,Evil Eye,邪眼,2,62500,"[39,40,45]",,,,,,10,monsters/eye.png,A strange floating eye. It seems to know rudimentary magic.
25,Finfolk,芬菲克,7,2000000,"[69,94]",10,,,,,10,bosses/water_demon.png,A fabled finfolk of the sea.
26,Wisp,幽光,4,150000,[106],,20,,,,,monsters/wisp.png,A strange floating ball of energy. It is quite proficient at healing its allies.
27,Great Bear,強大的熊,4,150000,[95],10,,3,5,,,monsters/black_bear.png,"A very mighty bear. It can lend you its might, but at the cost of your defenses."
28,Minotaur,牛頭怪,6,750000,[85],25,,,,5,,bosses/minotaur.png,A certainly powerful ally.
