id,en,zh,info,info_zh
1,Wyvern,飛龍,"A wild wyvern. It can occasionally breathe fire at your opponent, causing blight.","野生的飛龍.有時候能對你的對手噴火,造成枯萎."
2,Crow,烏鴉,A tamed crow. It has a small chance of boosting your speed in battle.,被馴服的烏鴉.有小機率提升你的速度.
3,Dog,狗狗,A traveler's best friend.,旅行者的最佳良伴.
4,Lesser Red Slime,低階紅色史萊姆,"A tamed red slime. It is not very powerful, but may assist you in battle with fire magic.","被馴服的紅色史萊姆. 雖然不太強, 但能用火炎魔法協助你戰鬥."
5,Gargoyle,石像魔,A living gargoyle. It can assist in battle by rarely petrifying your opponent.,會動的石像鬼.有極低機會石化你的對手.
6,Lesser Slime,低階史萊姆,"A tamed slime. It is not very powerful, but may assist you in battle.","被馴服的史萊姆. 雖然不太強, 但能協助你戰鬥."
7,Elder Gnome,侏儒長者,An experienced gnome who brings unstable magic into battle.,能夠使用不穩定魔法的老練侏儒.
8,Wolf,狼,A tamed wolf. It will often attack your enemies in battle.,被馴服的狼. 它在戰鬥中會時常攻擊你的敵人.
9,Snake,蛇,"A tamed snake. Occasionally, it can poison your opponents in battle.",被馴服的蛇. 在戰鬥中有時候能讓你的對手中毒.
10,Bat,蝙蝠,A tamed bat. It can drain HP from your enemies in battle.,被馴服的蝙蝠，能在戰鬥中吸收對手生命值。
11,Lesser Golem,低階魔像,A tamed golem. It will cast protection on you in battle.,受馴服的魔像。會在戰鬥中保護你。
12,Yeti,雪怪,The storied yeti. Can boost your defenses in battle while assisting you with ice magic.,傳說中的雪怪.能提升你的防禦並用冰雪魔法掩護你.
13,Bear,熊,A wild bear. It will frequently attack your enemies.,很狂野的熊。牠會瘋狂啃噬你的敵人。
14,Drake,龍獸,A tamed Drake. It will occasionally summon meteor against your enemies.,被馴服的龍獸.有時候會召喚隕石攻擊你的敵人.
15,Ghost,鬼,A spooky ghost. It may put your opponent to sleep.,陰森的幽靈.有機會讓你的對手入睡.
16,Mimic,寶箱怪,A mimic. What it is capable of is unknown.,就是一隻寶箱怪，而你永遠也猜不到它下一步想幹嘛。
17,Gnome,侏儒,A gnome. It can assist you in battle with its spells.,就是個侏儒.能用他的魔法掩護你.
18,Hellhound,地獄犬,A tamed hellhound. Can assist in battle with attacks and fire magic.,被馴服的地獄犬. 能使用攻擊和火炎魔法來協助你戰鬥.
19,Fairy,仙女,A magic fairy. It will heal you in battle.,魔法小妖精.戰鬥中能治療你.
20,Lizarr,蜥蜴人,"A tamed, yet aggressive lizarr warrior. It will attack your enemies in battle.",雖然被馴服但仍具侵略性的蜥蜴人戰士.戰鬥中會攻擊你的敵人.
21,Imp,小惡魔,A tamed imp. Will occasionally boost your attack.,被馴服的小惡魔.有時候會提升你的攻擊力.
22,Dark Slime,暗黑史萊姆,A slime of the darkest variable. It can blind your opponent and use dark magic.,色澤最暗的史萊姆。牠可以使你的對手目盲並且會用黑暗魔法。
